study_accession,sample_accession,sample_name,run_accession,read_count,fastq_ftp
PRJEB5224,SAMEA2338767,O2.UC36-1,ERR414388,31618492,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414388/ERR414388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414388/ERR414388_2.fastq.gz
PRJEB5224,SAMEA2338768,O2.UC37-1,ERR414389,46434581,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414389/ERR414389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414389/ERR414389_2.fastq.gz
PRJEB5224,SAMEA2338769,O2.UC38-1,ERR414390,39846983,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414390/ERR414390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414390/ERR414390_2.fastq.gz
PRJEB5224,SAMEA2338770,O2.UC40-1,ERR414391,41210802,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414391/ERR414391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414391/ERR414391_2.fastq.gz
PRJEB5224,SAMEA2338772,O2.UC41-1,ERR414392,42461640,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414392/ERR414392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414392/ERR414392_2.fastq.gz
PRJEB5224,SAMEA2338771,O2.UC4-1,ERR414393,41339038,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414393/ERR414393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414393/ERR414393_2.fastq.gz
PRJEB5224,SAMEA2338773,O2.UC43-1,ERR414394,38155919,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414394/ERR414394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414394/ERR414394_2.fastq.gz
PRJEB5224,SAMEA2338774,O2.UC44-1,ERR414395,38242096,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414395/ERR414395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414395/ERR414395_2.fastq.gz
PRJEB5224,SAMEA2338775,O2.UC46-1,ERR414396,44665127,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414396/ERR414396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414396/ERR414396_2.fastq.gz
PRJEB5224,SAMEA2338776,O2.UC47-1,ERR414397,34511578,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414397/ERR414397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414397/ERR414397_2.fastq.gz
PRJEB5224,SAMEA2338777,O2.UC48-1,ERR414398,51666858,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414398/ERR414398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414398/ERR414398_2.fastq.gz
PRJEB5224,SAMEA2338778,O2.UC5-1,ERR414399,36621734,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414399/ERR414399_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414399/ERR414399_2.fastq.gz
PRJEB5224,SAMEA2338779,O2.UC6-0,ERR414400,37234051,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414400/ERR414400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414400/ERR414400_2.fastq.gz
PRJEB5224,SAMEA2338780,O2.UC6-1,ERR414401,37532367,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414401/ERR414401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414401/ERR414401_2.fastq.gz
PRJEB5224,SAMEA2338781,O2.UC6-2,ERR414402,30891043,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414402/ERR414402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414402/ERR414402_2.fastq.gz
PRJEB5224,SAMEA2338782,O2.UC7-0,ERR414403,33036564,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414403/ERR414403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414403/ERR414403_2.fastq.gz
PRJEB5224,SAMEA2338783,O2.UC7-1,ERR414404,29324225,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414404/ERR414404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414404/ERR414404_2.fastq.gz
PRJEB5224,SAMEA2338784,O2.UC8-0,ERR414405,30399819,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414405/ERR414405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414405/ERR414405_2.fastq.gz
PRJEB5224,SAMEA2338785,O2.UC8-1,ERR414406,30590556,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414406/ERR414406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414406/ERR414406_2.fastq.gz
PRJEB5224,SAMEA2338786,O2.UC8-2,ERR414407,31344144,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414407/ERR414407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414407/ERR414407_2.fastq.gz
PRJEB5224,SAMEA2338787,O2.UC9-1,ERR414408,37404782,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414408/ERR414408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414408/ERR414408_2.fastq.gz
PRJEB5224,SAMEA2338788,V1.CD1-0-PN,ERR414409,36746026,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414409/ERR414409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414409/ERR414409_2.fastq.gz
PRJEB5224,SAMEA2338789,V1.CD1-0-PT,ERR414410,37113815,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414410/ERR414410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414410/ERR414410_2.fastq.gz
PRJEB5224,SAMEA2338790,V1.CD12-3,ERR414411,21352818,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414411/ERR414411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414411/ERR414411_2.fastq.gz
PRJEB5224,SAMEA2338790,V1.CD12-3,ERR414412,27224099,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414412/ERR414412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414412/ERR414412_2.fastq.gz
PRJEB5224,SAMEA2338791,V1.CD1-3-PN,ERR414413,36392594,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414413/ERR414413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414413/ERR414413_2.fastq.gz
PRJEB5224,SAMEA2338792,V1.CD20-0,ERR414414,18071814,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414414/ERR414414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414414/ERR414414_2.fastq.gz
PRJEB5224,SAMEA2338792,V1.CD20-0,ERR414415,22427719,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414415/ERR414415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414415/ERR414415_2.fastq.gz
PRJEB5224,SAMEA2338793,V1.CD2-0-PN,ERR414416,29666888,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414416/ERR414416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414416/ERR414416_2.fastq.gz
PRJEB5224,SAMEA2338794,V1.CD2-0-PT,ERR414417,45473573,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414417/ERR414417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414417/ERR414417_2.fastq.gz
PRJEB5224,SAMEA2338795,V1.CD3-0-PN,ERR414418,37271636,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414418/ERR414418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414418/ERR414418_2.fastq.gz
PRJEB5224,SAMEA2338796,V1.CD3-0-PT,ERR414419,57104935,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414419/ERR414419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414419/ERR414419_2.fastq.gz
PRJEB5224,SAMEA2338797,V1.CD32-0,ERR414420,25319445,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414420/ERR414420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414420/ERR414420_2.fastq.gz
PRJEB5224,SAMEA2338797,V1.CD32-0,ERR414421,23378800,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414421/ERR414421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414421/ERR414421_2.fastq.gz
PRJEB5224,SAMEA2338798,V1.CD32-4,ERR414422,24170079,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414422/ERR414422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414422/ERR414422_2.fastq.gz
PRJEB5224,SAMEA2338798,V1.CD32-4,ERR414423,22513441,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414423/ERR414423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414423/ERR414423_2.fastq.gz
PRJEB5224,SAMEA2338799,V1.CD3-3-PN,ERR414424,35489863,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414424/ERR414424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414424/ERR414424_2.fastq.gz
PRJEB5224,SAMEA2338800,V1.CD37-4,ERR414425,34047377,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414425/ERR414425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414425/ERR414425_2.fastq.gz
PRJEB5224,SAMEA2338801,V1.CD40-0,ERR414426,24741869,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414426/ERR414426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414426/ERR414426_2.fastq.gz
PRJEB5224,SAMEA2338801,V1.CD40-0,ERR414427,22949586,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414427/ERR414427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414427/ERR414427_2.fastq.gz
PRJEB5224,SAMEA2338802,V1.CD4-0-PN,ERR414428,32201723,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414428/ERR414428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414428/ERR414428_2.fastq.gz
PRJEB5224,SAMEA2338803,V1.CD4-0-PT,ERR414429,50691117,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414429/ERR414429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414429/ERR414429_2.fastq.gz
PRJEB5224,SAMEA2338804,V1.CD43-0,ERR414430,32296361,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414430/ERR414430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414430/ERR414430_2.fastq.gz
PRJEB5224,SAMEA2338805,V1.CD44-0,ERR414431,22440532,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414431/ERR414431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414431/ERR414431_2.fastq.gz
PRJEB5224,SAMEA2338805,V1.CD44-0,ERR414432,24323619,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414432/ERR414432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414432/ERR414432_2.fastq.gz
PRJEB5224,SAMEA2338806,V1.CD44-4,ERR414433,44578732,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414433/ERR414433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414433/ERR414433_2.fastq.gz
PRJEB5224,SAMEA2338807,V1.CD45-0,ERR414434,22161571,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414434/ERR414434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414434/ERR414434_2.fastq.gz
PRJEB5224,SAMEA2338807,V1.CD45-0,ERR414435,24043914,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414435/ERR414435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414435/ERR414435_2.fastq.gz
PRJEB5224,SAMEA2338808,V1.CD46-0,ERR414436,19752705,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414436/ERR414436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414436/ERR414436_2.fastq.gz
PRJEB5224,SAMEA2338808,V1.CD46-0,ERR414437,21355134,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414437/ERR414437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414437/ERR414437_2.fastq.gz
PRJEB5224,SAMEA2338809,V1.CD48-0,ERR414438,21350329,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414438/ERR414438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414438/ERR414438_2.fastq.gz
PRJEB5224,SAMEA2338809,V1.CD48-0,ERR414439,22939092,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414439/ERR414439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414439/ERR414439_2.fastq.gz
PRJEB5224,SAMEA2338810,V1.CD49-0,ERR414440,34840020,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414440/ERR414440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414440/ERR414440_2.fastq.gz
PRJEB5224,SAMEA2338811,V1.CD50-0,ERR414441,37209566,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414441/ERR414441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414441/ERR414441_2.fastq.gz
PRJEB5224,SAMEA2338812,V1.CD5-0-PN,ERR414442,34026782,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414442/ERR414442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414442/ERR414442_2.fastq.gz
PRJEB5224,SAMEA2338813,V1.CD51-0,ERR414443,39228522,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414443/ERR414443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414443/ERR414443_2.fastq.gz
PRJEB5224,SAMEA2338814,V1.CD52-0,ERR414444,41599694,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414444/ERR414444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414444/ERR414444_2.fastq.gz
PRJEB5224,SAMEA2338815,V1.CD53-0,ERR414445,34672351,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414445/ERR414445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414445/ERR414445_2.fastq.gz
PRJEB5224,SAMEA2338816,V1.CD54-0,ERR414446,42367663,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414446/ERR414446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414446/ERR414446_2.fastq.gz
PRJEB5224,SAMEA2338817,V1.CD55-0,ERR414447,39623726,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414447/ERR414447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414447/ERR414447_2.fastq.gz
PRJEB5224,SAMEA2338818,V1.CD6-0-PN,ERR414448,33511867,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414448/ERR414448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414448/ERR414448_2.fastq.gz
PRJEB5224,SAMEA2338819,V1.CD6-0-PT,ERR414449,49731787,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414449/ERR414449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414449/ERR414449_2.fastq.gz
PRJEB5224,SAMEA2338820,V1.CD7-0-PN,ERR414450,34002397,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414450/ERR414450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414450/ERR414450_2.fastq.gz
PRJEB5224,SAMEA2338821,V1.CD8-0-PN,ERR414451,39745374,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414451/ERR414451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414451/ERR414451_2.fastq.gz
PRJEB5224,SAMEA2338822,V1.FI01,ERR414452,40279995,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414452/ERR414452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414452/ERR414452_2.fastq.gz
PRJEB5224,SAMEA2338823,V1.FI02,ERR414453,53131192,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414453/ERR414453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414453/ERR414453_2.fastq.gz
PRJEB5224,SAMEA2338824,V1.FI03,ERR414454,39506687,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414454/ERR414454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414454/ERR414454_2.fastq.gz
PRJEB5224,SAMEA2338825,V1.FI04,ERR414455,41825885,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414455/ERR414455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414455/ERR414455_2.fastq.gz
PRJEB5224,SAMEA2338826,V1.FI05,ERR414456,35025556,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414456/ERR414456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414456/ERR414456_2.fastq.gz
PRJEB5224,SAMEA2338827,V1.FI06,ERR414457,39904280,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414457/ERR414457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414457/ERR414457_2.fastq.gz
PRJEB5224,SAMEA2338828,V1.FI07,ERR414458,35658047,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414458/ERR414458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414458/ERR414458_2.fastq.gz
PRJEB5224,SAMEA2338829,V1.FI08,ERR414459,41496876,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414459/ERR414459_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414459/ERR414459_2.fastq.gz
PRJEB5224,SAMEA2338830,V1.FI09,ERR414460,38418478,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414460/ERR414460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414460/ERR414460_2.fastq.gz
PRJEB5224,SAMEA2338831,V1.FI10,ERR414461,42527406,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414461/ERR414461_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414461/ERR414461_2.fastq.gz
PRJEB5224,SAMEA2338832,V1.FI11,ERR414462,36641406,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414462/ERR414462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414462/ERR414462_2.fastq.gz
PRJEB5224,SAMEA2338833,V1.FI12,ERR414463,43281893,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414463/ERR414463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414463/ERR414463_2.fastq.gz
PRJEB5224,SAMEA2338834,V1.FI13,ERR414464,38306332,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414464/ERR414464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414464/ERR414464_2.fastq.gz
PRJEB5224,SAMEA2338835,V1.FI14,ERR414465,41952783,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414465/ERR414465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414465/ERR414465_2.fastq.gz
PRJEB5224,SAMEA2338836,V1.FI15,ERR414466,40513374,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414466/ERR414466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414466/ERR414466_2.fastq.gz
PRJEB5224,SAMEA2338837,V1.FI16,ERR414467,39172289,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414467/ERR414467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414467/ERR414467_2.fastq.gz
PRJEB5224,SAMEA2338838,V1.FI17,ERR414468,36076607,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414468/ERR414468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414468/ERR414468_2.fastq.gz
PRJEB5224,SAMEA2338839,V1.FI18,ERR414469,40968964,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414469/ERR414469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414469/ERR414469_2.fastq.gz
PRJEB5224,SAMEA2338840,V1.FI19,ERR414470,37891208,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414470/ERR414470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414470/ERR414470_2.fastq.gz
PRJEB5224,SAMEA2338841,V1.FI20,ERR414471,41011813,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414471/ERR414471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414471/ERR414471_2.fastq.gz
PRJEB5224,SAMEA2338842,V1.FI21,ERR414472,28224308,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414472/ERR414472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414472/ERR414472_2.fastq.gz
PRJEB5224,SAMEA2338843,V1.FI22,ERR414473,34762489,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414473/ERR414473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414473/ERR414473_2.fastq.gz
PRJEB5224,SAMEA2338844,V1.FI23,ERR414474,30747920,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414474/ERR414474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414474/ERR414474_2.fastq.gz
PRJEB5224,SAMEA2338845,V1.FI24,ERR414475,66482332,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414475/ERR414475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414475/ERR414475_2.fastq.gz
PRJEB5224,SAMEA2338846,V1.FI25,ERR414476,37517790,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414476/ERR414476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414476/ERR414476_2.fastq.gz
PRJEB5224,SAMEA2338847,V1.FI26,ERR414477,40764564,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414477/ERR414477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414477/ERR414477_2.fastq.gz
PRJEB5224,SAMEA2338848,V1.FI27,ERR414478,33210169,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414478/ERR414478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414478/ERR414478_2.fastq.gz
PRJEB5224,SAMEA2338849,V1.FI28,ERR414479,38560793,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414479/ERR414479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414479/ERR414479_2.fastq.gz
PRJEB5224,SAMEA2338850,V1.FI29,ERR414480,28869388,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414480/ERR414480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414480/ERR414480_2.fastq.gz
PRJEB5224,SAMEA2338851,V1.FI30,ERR414481,36051253,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414481/ERR414481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414481/ERR414481_2.fastq.gz
PRJEB5224,SAMEA2338852,V1.FI31,ERR414482,30825768,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414482/ERR414482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414482/ERR414482_2.fastq.gz
PRJEB5224,SAMEA2338853,V1.FI32,ERR414483,43153864,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414483/ERR414483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414483/ERR414483_2.fastq.gz
PRJEB5224,SAMEA2338854,V1.FI33,ERR414484,39261995,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414484/ERR414484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414484/ERR414484_2.fastq.gz
PRJEB5224,SAMEA2338855,V1.FI34,ERR414485,43192438,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414485/ERR414485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414485/ERR414485_2.fastq.gz
PRJEB5224,SAMEA2338856,V1.FI35,ERR414486,32262576,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414486/ERR414486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414486/ERR414486_2.fastq.gz
PRJEB5224,SAMEA2338857,V1.FI36,ERR414487,42695777,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414487/ERR414487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414487/ERR414487_2.fastq.gz
PRJEB5224,SAMEA2338858,V1.FI37,ERR414488,40336573,ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414488/ERR414488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414488/ERR414488_2.fastq.gz
