study_accession	sample_accession	sample_title	sample_alias	run_accession	library_layout	read_count	submitted_bytes	fastq_bytes	fastq_ftp
PRJEB1786	SAMEA1906452	304	1	ERR260132	PAIRED	13644455	1158549258;1166863607	1201829993;1210188137	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260132/ERR260132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260132/ERR260132_2.fastq.gz
PRJEB1786	SAMEA1906536	305	2	ERR260133	PAIRED	13188795	1113309934;1116999481	1155058704;1158772978	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260133/ERR260133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260133/ERR260133_2.fastq.gz
PRJEB1786	SAMEA1906542	312	3	ERR260134	PAIRED	73997021	6580397321;6657353554	6825465104;6897769885	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260134/ERR260134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260134/ERR260134_2.fastq.gz
PRJEB1786	SAMEA1906527	317	4	ERR260135	PAIRED	69214430	5905489560;5761429966	6131473456;5981484937	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260135/ERR260135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260135/ERR260135_2.fastq.gz
PRJEB1786	SAMEA1906516	327	5	ERR260136	PAIRED	12819056	1080740701;1086653498	1121467344;1127440579	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260136/ERR260136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260136/ERR260136_2.fastq.gz
PRJEB1786	SAMEA1906573	330	6	ERR260137	PAIRED	9616071	815270113;823684896	845633867;854089689	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260137/ERR260137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260137/ERR260137_2.fastq.gz
PRJEB1786	SAMEA1906552	332	7	ERR260138	PAIRED	16984719	1434984332;1440054326	1489065935;1494192440	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260138/ERR260138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260138/ERR260138_2.fastq.gz
PRJEB1786	SAMEA1906465	334	8	ERR260139	PAIRED	10082557	852903557;854706950	884590776;886520154	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260139/ERR260139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260139/ERR260139_2.fastq.gz
PRJEB1786	SAMEA1906489	344	9	ERR260140	PAIRED	9583450	807553706;812210365	837700447;842365762	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260140/ERR260140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260140/ERR260140_2.fastq.gz
PRJEB1786	SAMEA1906485	347	10	ERR260141	PAIRED	12319817	1042732596;1049336723	1081851150;1088491199	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260141/ERR260141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260141/ERR260141_2.fastq.gz
